,time,date,value
0,0,2025-07-09,0.0
1,1,2025-07-09,-0.001505031024775949
2,2,2025-07-09,-0.0009436912914244644
3,3,2025-07-09,-0.0011941985833847646
4,4,2025-07-09,0.0012666552382141205
5,5,2025-07-09,0.0014469869419868608
6,6,2025-07-09,0.000826297844719992
7,7,2025-07-09,0.00141474343348591
8,8,2025-07-09,0.00021977613953727548
9,9,2025-07-09,0.003251115887671574
10,10,2025-07-09,0.004774461807550701
11,11,2025-07-09,0.008421767531036517
12,12,2025-07-09,0.006021590044085867
13,13,2025-07-09,0.006456481313431572
14,14,2025-07-09,0.005557388707974953
15,15,2025-07-09,0.0081553658999316
16,16,2025-07-09,0.007108425966275478
17,17,2025-07-09,0.007336039293653007
18,18,2025-07-09,0.007429744115535986
19,19,2025-07-09,0.007050253271973506
20,20,2025-07-09,0.007874627703698955
21,21,2025-07-09,0.0076179226776553755
22,22,2025-07-09,0.007610048989643792
23,23,2025-07-09,0.007191809458889198
24,24,2025-07-09,0.006822381885289164
25,25,2025-07-09,0.006217923249438817
26,26,2025-07-09,0.007548471857212191
27,27,2025-07-09,0.008206668409078133
28,28,2025-07-09,0.008174744366660769
29,29,2025-07-09,0.006778043712163839
30,30,2025-07-09,0.0074899486260837644
31,31,2025-07-09,0.008453965265324603
32,32,2025-07-09,0.009763847532583081
33,33,2025-07-09,0.010886656559828234
34,34,2025-07-09,0.011193368333564768
35,35,2025-07-09,0.01137913319841044
36,36,2025-07-09,0.012620218544330486
37,37,2025-07-09,0.010117839310831434
38,38,2025-07-09,0.010222574396511863
39,39,2025-07-09,0.01134524431131767
40,40,2025-07-09,0.009697126412340329
41,41,2025-07-09,0.009256607716356835
42,42,2025-07-09,0.00947117735605485
43,43,2025-07-09,0.008711322548961675
44,44,2025-07-09,0.010591436491571238
45,45,2025-07-09,0.007864507192869574
46,46,2025-07-09,0.009090868241504624
47,47,2025-07-09,0.007980181097215544
48,48,2025-07-09,0.008535629615566087
49,49,2025-07-09,0.008479990380558355
50,50,2025-07-09,0.008923254308737083
51,51,2025-07-09,0.00754826326389646
52,52,2025-07-09,0.009216202131504758
53,53,2025-07-09,0.009040906666158532
54,54,2025-07-09,0.00835888154454345
55,55,2025-07-09,0.00946842819258309
56,56,2025-07-09,0.009222537908670114
57,57,2025-07-09,0.008668794192193463
58,58,2025-07-09,0.010058361174238195
59,59,2025-07-09,0.008958491340532837
60,60,2025-07-09,0.008386771819227312
61,61,2025-07-09,0.009897750694008445
62,62,2025-07-09,0.009443786832273982
63,63,2025-07-09,0.008827870069305743
64,64,2025-07-09,0.010031856477003442
65,65,2025-07-09,0.009072514765877338
66,66,2025-07-09,0.006845756730933128
67,67,2025-07-09,0.005459041909588125
68,68,2025-07-09,0.005220627614503703
69,69,2025-07-09,0.006238866704357915
70,70,2025-07-09,0.0068915428215478025
71,71,2025-07-09,0.006172744781842487
72,72,2025-07-09,0.004583921356460019
73,73,2025-07-09,0.006060207314761756
74,74,2025-07-09,0.005260982674301751
75,75,2025-07-09,0.008151438680468637
76,76,2025-07-09,0.008620064454778475
77,77,2025-07-09,0.012202164665799375
78,78,2025-07-09,0.010286606580684587
79,79,2025-07-09,0.010668766707151445
80,80,2025-07-09,0.010315644588195227
81,81,2025-07-09,0.01034166117596469
82,82,2025-07-09,0.009596045410027454
83,83,2025-07-09,0.010974049471438874
84,84,2025-07-09,0.011117922994038909
85,85,2025-07-09,0.011153411362458843
86,86,2025-07-09,0.011194473800411608
87,87,2025-07-09,0.010867133196392098
88,88,2025-07-09,0.011119197904695177
89,89,2025-07-09,0.011604823021033939
90,90,2025-07-09,0.009907232417520007
91,91,2025-07-09,0.008779428325710104
92,92,2025-07-09,0.009488177427754985
93,93,2025-07-09,0.009139542138225432
94,94,2025-07-09,0.010215700511627568
95,95,2025-07-09,0.009292558715396138
96,96,2025-07-09,0.009772328652909112
97,97,2025-07-09,0.008547972526752212
98,98,2025-07-09,0.008694350610232826
99,99,2025-07-09,0.008956385000201017
100,100,2025-07-09,0.007735405121154337
101,101,2025-07-09,0.008082757211666292
102,102,2025-07-09,0.008565114861477041
103,103,2025-07-09,0.009689650177271192
104,104,2025-07-09,0.009348003597025922
105,105,2025-07-09,0.009334681735341688
106,106,2025-07-09,0.010197385234246514
107,107,2025-07-09,0.01092633729266157
108,108,2025-07-09,0.009672741297156895
109,109,2025-07-09,0.009681063066639961
110,110,2025-07-09,0.010464868521686821
111,111,2025-07-09,0.011034508299190282
112,112,2025-07-09,0.009875312236986677
113,113,2025-07-09,0.009912377797903216
114,114,2025-07-09,0.009586619843065747
115,115,2025-07-09,0.009075637321775076
116,116,2025-07-09,0.010058407380498013
117,117,2025-07-09,0.008839958300872364
118,118,2025-07-09,0.010021700744382578
119,119,2025-07-09,0.009948777746579651
120,120,2025-07-09,0.009549528413037578
121,121,2025-07-09,0.009746738269357458
